symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IL4	0.022942705751109384	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18869504424882272	No data	No data	0.5	0	1	0	0	0	0	No data	0.6303396540946031	-0.7047157142716373	0	-1	No data	No data	No data	No data
PTX3	0.02288527316739881	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18822268305297435	No data	No data	No data	1	1	0	0	0	0.0944899999999997	No data	0.3501771202333819	-0.09998075787576027	0	No data	No data	0	0.5	0
SH2B1	0.022846807945590134	0.0375812642415032	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5767200000000002	No data	-0.7232756824338404	-0.6531542430016137	0	No data	No data	0	-1	-1
PEX13	0.022738876557973554	0.037403725304438966	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5533499999999997	No data	0.13117316107522403	-0.7759520304205592	0	No data	No data	No data	-1	-1
SELE	0.02272811228346929	0.03662610539322968	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	0.75	1	0	1	1	0	0	No data	-0.06230464680141701	-0.27832190309498156	0	-1	No data	0	0.5	0
NEU4	0.022711367259058396	0.037358474596589926	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	0	0	No data	0.6880600125026046	-0.19191867970797666	0	No data	No data	0	1	0.5
TNFSF11	0.02266495210504875	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1864106259634533	No data	No data	1	1	1	1	1	0	0.1798099999999998	No data	-0.0709522817253595	-0.6685123132198373	0	No data	No data	0	0.5	0.5
BTF3P11	0.022062559318541605	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18145617400219585	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PCSK9	0.02196433608605332	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18064832520695326	No data	No data	1	0	1	1	1	1	0	No data	0.48978953948739323	-0.744774696897267	0	No data	No data	0	1	0.5
IL6	0.021955883062537325	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18057880229785567	No data	No data	1	0	1	1	1	0	0	No data	-0.1933736195040634	-0.9759969951857208	0	-1	No data	No data	0.5	0
